event_name,event_id,fight_id,r_name,r_id,b_name,b_id,division,title_fight,method,finish_round,match_time_sec,total_rounds,referee
UFC 291: Poirier vs. Gaethje 2,ccd58ff71e260ed5,5116f9398bfca446,Roman Kopylov,9d83f6da776ff7d6,Claudio Ribeiro,972c456ff38b2015,Middleweight,0,KO/TKO,2,33,3,Marc Goddard
UFC 291: Poirier vs. Gaethje 2,ccd58ff71e260ed5,e5ac7343b6d45188,CJ Vergara,077e3ace32b72be9,Vinicius Salvador,65cdf4ec31143d86,Flyweight,0,Decision - Unanimous,3,300,3,Dave Seljestad
UFC 291: Poirier vs. Gaethje 2,ccd58ff71e260ed5,3de326b65aa6245d,Matthew Semelsberger,4aa58269d0664b5b,Uros Medic,681399317dbf4701,Welterweight,0,KO/TKO,3,156,3,Tyler Tomlinson
UFC 316: Dvalishvili vs. O'Malley 2,18c49685296c60e6,e61d83e4e1f9c4d7,Merab Dvalishvili,c03520b5c88ed6b4,Sean O'Malley,b50a426a33da0012,Bantamweight,1,Submission,3,282,5,Jason Herzog
UFC 291: Poirier vs. Gaethje 2,ccd58ff71e260ed5,74fef059e229d217,Miranda Maverick,f29a6350c69f4a33,Priscila Cachoeira,b1e5bcaad32a3cac,Flyweight,0,Submission,3,131,3,Dave Seljestad
UFC 316: Dvalishvili vs. O'Malley 2,18c49685296c60e6,81b84b34f0357fa5,Julianna Pena,3253b16d38ae087d,Kayla Harrison,1af1170ed937cba7,Bantamweight,1,Submission,2,295,5,Vitor Ribeiro
UFC 316: Dvalishvili vs. O'Malley 2,18c49685296c60e6,2129acab2280bd29,Vicente Luque,6d4b63c767106d3a,Kevin Holland,3a46b268013afede,Welterweight,0,Submission,2,63,3,Keith Peterson
UFC 316: Dvalishvili vs. O'Malley 2,18c49685296c60e6,e28e829800466aca,Kelvin Gastelum,8c0580d4fff106c1,Joe Pyfer,c1085e1701b13eca,Middleweight,0,Decision - Unanimous,3,300,3,Mike Beltran
UFC 316: Dvalishvili vs. O'Malley 2,18c49685296c60e6,df5dac45fc585fb0,Mario Bautista,bc711b6dd95c1af6,Patchy Mix,2cfba6c837c03ed0,Bantamweight,0,Decision - Unanimous,3,300,3,Keith Peterson
UFC 316: Dvalishvili vs. O'Malley 2,18c49685296c60e6,b6a87389bdc36a00,Bruno Silva,294aa73dbf37d281,Joshua Van,17e97649403ba428,Flyweight,0,KO/TKO,3,241,3,Vitor Ribeiro
UFC 316: Dvalishvili vs. O'Malley 2,18c49685296c60e6,01100a90b584215d,Azamat Murzakanov,e90a2f22417af68e,Brendson Ribeiro,49edd0d90f60fb7d,Light Heavyweight,0,KO/TKO,1,205,3,Mike Beltran
UFC 316: Dvalishvili vs. O'Malley 2,18c49685296c60e6,d078e9046aa86307,Ariane da Silva,6551c64fbcd1a467,Wang Cong,2997e7fe3c9d3d4a,Flyweight,0,Decision - Unanimous,3,300,3,Gasper Oliver
UFC 316: Dvalishvili vs. O'Malley 2,18c49685296c60e6,f0488a4486a64af0,Khaos Williams,2558ae2e5671e318,Andreas Gustafsson,2caf993f53541fa1,Welterweight,0,Decision - Unanimous,3,300,3,Mike Beltran
UFC 316: Dvalishvili vs. O'Malley 2,18c49685296c60e6,ac977a0389682124,Serghei Spivac,e2f6b2769aaedd6c,Waldo Cortes-Acosta,fc08099550072fe4,Heavyweight,0,Decision - Unanimous,3,300,3,Mike Beltran
